# Photometry of EPIC-245950175
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457739.643619,136917,168857.868164,256.341309,169211.091443,169137.869920,False,False,False,False
2457739.664051,136918,168927.510559,255.727753,169259.743775,169185.478307,False,False,False,False
2457739.684484,136919,168902.230286,256.954865,169204.564958,169129.179832,False,False,False,False
2457739.704916,136920,168963.216187,255.727753,169240.332492,169163.751912,False,False,False,False
2457739.725349,136921,168979.782745,255.727753,169243.000403,169165.148486,False,False,False,False
2457739.745781,136922,168947.937317,255.727753,169224.277767,169145.078605,False,False,False,False
2457739.766214,136923,168877.935394,255.727753,169202.120351,169121.498007,False,False,False,False
2457739.786646,136924,169124.642822,257.568390,169355.697308,169273.575816,False,True,True,True
2457739.807078,136925,169120.038605,257.568390,169292.753443,169209.056870,False,False,False,False
2457739.827511,136926,169046.599884,256.954865,169288.473328,169203.125765,False,False,False,False
2457739.847943,136927,168972.175049,257.568390,169271.629847,169184.555435,False,False,False,False
2457739.868376,136928,168927.752686,258.181946,169259.763437,169170.886389,False,False,False,False
2457739.888808,136929,168891.003113,258.181946,169250.669267,169159.913874,False,False,False,False
2457739.909241,136930,168850.139587,258.795502,169219.679753,169126.970446,False,False,False,False
2457739.929673,136931,168874.988129,258.181946,169236.179221,169141.440531,False,False,False,False
2457739.950106,136932,168943.272308,256.954865,169283.687589,169186.844197,False,False,False,False
2457739.970538,136933,168972.052582,256.954865,169288.240186,169189.216963,False,False,False,False
2457739.990970,136934,168978.800140,256.954865,169271.698995,169170.421000,False,False,False,False
2457740.011403,136935,168986.225739,256.954865,169267.691704,169164.084174,False,False,False,False
2457740.031835,136936,169066.660950,258.795502,169340.720942,169234.709376,False,True,True,True
2457740.052268,136937,169073.412445,258.795502,169333.239643,169224.749788,False,False,False,False
2457740.072700,136938,169040.402283,258.181946,169353.405288,169242.363126,False,False,False,False
2457740.093133,136939,168962.848938,258.795502,169312.520353,169198.852190,False,False,False,False
2457740.113565,136940,168916.526184,258.795502,169287.368282,169171.000734,False,False,False,False
2457740.133997,136941,168943.399567,258.795502,169313.797699,169194.657670,False,False,False,False
2457740.154430,136942,168974.322174,258.181946,169328.119750,169206.134532,False,False,False,False
2457740.174862,136943,168968.859650,258.795502,169300.557628,169175.654883,False,False,False,False
2457740.195295,136944,169023.592712,257.568390,169334.245939,169206.353672,False,False,False,False
2457740.215727,136945,169030.033386,258.181946,169323.501881,169192.548549,False,False,False,False
2457740.236159,136946,169028.191650,258.181946,169325.589054,169191.503527,False,False,False,False
2457740.256592,136947,168979.598175,257.568390,169317.952186,169180.663778,False,False,False,False
2457740.277024,136948,145337.052795,278.429108,150684.086976,150543.525470,True,True,True,True
2457740.297457,136949,169299.260315,260.022614,169286.333026,169142.428689,False,True,True,True
2457740.317889,136950,169329.200073,259.409058,169308.038734,169160.722337,False,False,False,False
2457740.338322,136951,169267.476807,260.022614,169253.673639,169102.876479,False,False,False,False
2457740.358754,136952,169172.928436,261.249695,169182.207230,169027.861164,False,False,False,False
2457740.379186,136953,169259.561829,260.636169,169302.997890,169145.035284,False,False,False,False
2457740.399619,136954,169193.849091,261.863251,169281.289113,169119.642967,False,False,False,False
2457740.420051,136955,169236.921967,260.636169,169373.851024,169208.454921,False,False,False,False
2457740.440484,136956,169187.837860,260.636169,169377.952144,169208.740284,False,False,False,False
2457740.460916,136957,169179.675568,260.022614,169411.250810,169238.158033,False,False,False,False
2457740.481348,136958,169140.964081,261.249695,169410.882748,169233.844529,False,False,False,False
2457740.501781,136959,169076.358337,260.636169,169384.839656,169203.792203,False,False,False,False
2457740.522213,136960,169017.086060,261.863251,169356.022375,169170.902529,False,False,False,False
2457740.542646,136961,169058.932098,261.249695,169419.791861,169230.537173,False,False,False,False
2457740.563078,136962,169058.008789,260.022614,169431.105790,169237.654601,False,False,False,False
2457740.583510,136963,168968.430481,260.636169,169346.152534,169148.443870,False,False,False,False
2457740.603943,136964,168860.017883,260.022614,169228.943426,169026.917074,False,False,False,False
2457740.624375,136965,168764.182373,261.863251,169119.123174,168912.719767,False,False,False,False
2457740.644808,136966,168870.389587,258.795502,169208.299502,168997.460407,False,False,False,False
2457740.665240,136967,168816.515076,260.636169,169136.755099,168921.422498,False,False,False,False
2457740.685672,136968,168892.843292,260.022614,169201.419374,168981.536347,False,False,False,False
2457740.706105,136969,169100.285522,259.409058,169402.560042,169178.070451,False,False,False,False
2457740.726537,136970,169125.381165,259.409058,169434.461665,169205.310237,False,False,False,False
2457740.746970,136971,169121.264282,258.795502,169443.666720,169209.799132,False,False,False,False
2457740.767402,136972,169135.439362,260.022614,169499.330644,169260.693402,False,True,True,True
2457740.787835,136973,169118.751831,261.249695,169470.288801,169226.829324,False,False,False,False
2457740.808267,136974,169073.964478,262.476807,169445.020103,169196.686785,False,False,False,False
2457740.828699,136975,169087.216583,261.249695,169465.818998,169212.561178,False,False,False,False
2457740.849132,136976,169102.244965,260.636169,169480.867707,169222.635611,False,False,False,False
2457740.869564,136977,169122.250549,260.022614,169493.259415,169230.004318,False,False,False,False
2457740.889996,136978,169051.507538,262.476807,169411.278304,169142.952468,False,False,False,False
2457740.910429,136979,169124.024139,260.636169,169466.140052,169192.696670,False,False,False,False
2457740.930861,136980,169194.952545,259.409058,169518.990053,169240.383409,False,False,False,False
2457740.951294,136981,169137.898132,260.636169,169450.527703,169166.713114,False,False,False,False
2457740.971726,136982,169158.752960,260.022614,169473.736401,169184.670152,False,False,False,False
2457740.992158,136983,169186.735840,259.409058,169524.224197,169229.863710,False,False,False,False
2457741.012591,136984,169312.143433,264.317444,169498.848335,169199.152103,False,True,True,True
2457741.033023,136985,169356.439423,262.476807,169481.383751,169176.311273,False,False,False,False
2457741.053456,136986,169279.685730,262.476807,169461.508234,169151.020187,False,False,False,False
2457741.073888,136987,169209.864532,263.090363,169454.572832,169138.631001,False,False,False,False
2457741.094320,136988,169181.457428,263.090363,169474.484606,169153.051818,False,False,False,False
2457741.114753,136989,169099.673248,263.703918,169435.621794,169108.662118,False,False,False,False
2457741.135185,136990,169131.452698,263.090363,169495.836940,169163.315508,False,False,False,False
2457741.155618,136991,169185.692108,261.249695,169563.656405,169225.539506,False,False,False,False
2457741.176050,136992,169137.586670,262.476807,169517.758746,169174.013889,False,False,False,False
2457741.196482,136993,169102.124237,263.703918,169472.925396,169123.521240,False,False,False,False
2457741.216915,136994,169184.770721,261.249695,169541.597084,169186.503478,False,False,False,False
2457741.237347,136995,169119.612213,262.476807,169456.370881,169095.558870,False,False,False,False
2457741.257780,136996,169434.423157,264.317444,169502.599998,169136.041834,False,True,True,True
2457741.278212,136997,169494.981750,263.090363,169532.683115,169160.352267,False,False,False,False
2457741.298644,136998,169439.884247,263.703918,169531.039329,169152.910492,False,False,False,False
2457741.319077,136999,169378.037811,263.090363,169523.654688,169139.703763,False,False,False,False
2457741.339509,137000,169368.837128,263.090363,169565.051963,169175.256178,False,False,False,False
2457741.359941,137001,169333.741089,263.090363,169577.010875,169181.348624,False,False,False,False
2457741.380374,137002,169296.377350,262.476807,169589.302289,169187.753224,False,False,False,False
2457741.400806,137003,169223.853180,263.090363,169557.320582,169149.865707,False,False,False,False
2457741.421239,137004,169200.230042,263.703918,169563.769698,169150.391202,False,False,False,False
2457741.441671,137005,169217.656311,263.090363,169597.192644,169177.873996,False,False,False,False
2457741.462103,137006,169216.613800,262.476807,169596.598482,169171.324524,False,False,False,False
2457741.482536,137007,169192.073639,263.090363,169562.850461,169131.607240,False,False,False,False
2457741.502968,137008,169448.598816,261.863251,169744.943675,169307.718533,False,True,True,True
2457741.523400,137009,169532.165039,264.317444,169560.121497,169116.903169,False,True,True,True
